expert_id,hypothesis_id,hypothesis,T_0_10,I_0_10,F_0_10,T,I,F,zone,paraconsistent
3,1,¿Lavarse las manos con jabon es efectivo para reducir la transmision de enfermedades infecciosas,8.0,3.0,0.0,0.8,0.3,0.0,Consensus,0
3,2,¿El ejercicio fisico regular reduce el riesgo de enfermedad cardiovascular,10.0,6.0,1.0,1.0,0.6,0.1,Ambiguity,1
3,3,¿Fumar tabaco aumenta significativamente el riesgo de cancer de pulmon,10.0,6.0,1.0,1.0,0.6,0.1,Ambiguity,1
3,4,¿La aspirina tiene propiedades antiplaquetarias que ayudan a prevenir coagulos,9.0,5.0,1.0,0.9,0.5,0.1,Ambiguity,0
3,5,¿La composicion del microbioma intestinal influye directamente en la salud mental a traves del eje intestino-cerebro,10.0,4.0,1.0,1.0,0.4,0.1,Ambiguity,1
3,6,¿Existe un vinculo causal entre el consumo de edulcorantes artificiales y un mayor riesgo de cancer,9.0,6.0,1.0,0.9,0.6,0.1,Ambiguity,0
3,7,¿Los adultos sanos deberian tomar suplementos multivitaminicos diarios para prevenir enfermedades cronicas,9.0,6.0,2.0,0.9,0.6,0.2,Ambiguity,1
3,8,¿Las redes celulares 5G pueden causar directamente infecciones de COVID-19,10.0,6.0,1.0,1.0,0.6,0.1,Ambiguity,1
3,9,¿La inversion del campo magnetico terrestre representa una amenaza inminente y directa para la salud humana,10.0,6.0,2.0,1.0,0.6,0.2,Ambiguity,1
3,10,¿La exposicion a la luz azul de las pantallas es una causa significativa de degeneracion macular,9.0,6.0,1.0,0.9,0.6,0.1,Ambiguity,0
3,11,¿La Declaracion Universal de los Derechos Humanos (1948) incluye el derecho a la educacion,9.0,6.0,1.0,0.9,0.6,0.1,Ambiguity,0
3,12,¿El PIB de la Union Europea esta entre los mas grandes del mundo,9.0,5.0,3.0,0.9,0.5,0.3,Ambiguity,1
3,13,¿La Organizacion Mundial del Comercio tiene un mecanismo de resolucion de disputas comerciales,9.0,6.0,1.0,0.9,0.6,0.1,Ambiguity,0
3,14,¿La Politica Agricola Comun de la UE es eficiente para apoyar a los agricultores de pequena escala,10.0,6.0,3.0,1.0,0.6,0.3,Ambiguity,1
3,15,¿El equilibrio geopolitico de poder cambiara significativamente debido al cambio climatico para 2050,10.0,6.0,3.0,1.0,0.6,0.3,Ambiguity,1
3,16,¿Los bancos centrales deberian adoptar monedas digitales (CBDC) para mejorar la politica monetaria,10.0,6.0,2.0,1.0,0.6,0.2,Ambiguity,1
3,17,¿Las sanciones economicas son una herramienta efectiva para cambiar el comportamiento de regimenes autoritarios,10.0,6.0,0.0,1.0,0.6,0.0,Ambiguity,0
3,18,¿La arquitectura Web3 e internet descentralizado es superior al modelo centralizado actual,10.0,6.0,0.0,1.0,0.6,0.0,Ambiguity,0
3,19,¿La arquitectura Transformer ha alcanzado sus limites fundamentales de escalabilidad para capacidades de IA,10.0,7.0,1.0,1.0,0.7,0.1,Ambiguity,1
3,20,¿La Ley de Moore sigue vigente en su formulacion original para la densidad de transistores,10.0,6.0,1.0,1.0,0.6,0.1,Ambiguity,1
3,21,¿La fusion nuclear ha logrado ganancia neta de energia sostenida en un reactor practico y escalable,10.0,5.0,1.0,1.0,0.5,0.1,Ambiguity,1
3,22,¿Los sistemas actuales de IA pueden lograr inteligencia artificial general (AGI),10.0,5.0,0.0,1.0,0.5,0.0,Ambiguity,0
3,23,¿El Metaverso se ha convertido en la plataforma principal para el trabajo diario y la interaccion social,10.0,6.0,1.0,1.0,0.6,0.1,Ambiguity,1
3,24,¿La privacidad diferencial es una tecnica suficiente para proteger datos individuales en aprendizaje automatico,10.0,5.0,2.0,1.0,0.5,0.2,Ambiguity,1
3,25,¿El entrenamiento de modelos grandes de IA contribuye significativamente a las emisiones globales de carbono,10.0,6.0,2.0,1.0,0.6,0.2,Ambiguity,1
3,26,¿Las celdas de combustible de hidrogeno se convertiran en la tecnologia dominante para transporte de larga distancia,10.0,6.0,1.0,1.0,0.6,0.1,Ambiguity,1
3,27,¿El xenotrasplante de organos de cerdo geneticamente modificados se convertira en practica medica rutinaria en 10 anos,10.0,6.0,1.0,1.0,0.6,0.1,Ambiguity,1
3,28,¿Los antibioticos son efectivos contra infecciones virales como el resfriado comun,10.0,7.0,1.0,1.0,0.7,0.1,Ambiguity,1
3,29,¿La tecnologia blockchain ha sido ampliamente adoptada para la gestion de cadenas de suministro empresariales,10.0,7.0,0.0,1.0,0.7,0.0,Ambiguity,0
3,30,¿La computacion cuantica es capaz de romper la encriptacion RSA-2048 con el hardware actualmente disponible,10.0,7.0,2.0,1.0,0.7,0.2,Ambiguity,1
4,1,¿Lavarse las manos con jabon es efectivo para reducir la transmision de enfermedades infecciosas,9.0,5.0,0.0,0.9,0.5,0.0,Ambiguity,0
4,2,¿El ejercicio fisico regular reduce el riesgo de enfermedad cardiovascular,9.0,2.0,0.0,0.9,0.2,0.0,Consensus,0
4,3,¿Fumar tabaco aumenta significativamente el riesgo de cancer de pulmon,10.0,2.0,0.0,1.0,0.2,0.0,Consensus,0
4,4,¿La aspirina tiene propiedades antiplaquetarias que ayudan a prevenir coagulos,10.0,6.0,1.0,1.0,0.6,0.1,Ambiguity,1
4,5,¿La composicion del microbioma intestinal influye directamente en la salud mental a traves del eje intestino-cerebro,10.0,7.0,1.0,1.0,0.7,0.1,Ambiguity,1
4,6,¿Existe un vinculo causal entre el consumo de edulcorantes artificiales y un mayor riesgo de cancer,10.0,0.0,1.0,1.0,0.0,0.1,Consensus,1
4,7,¿Los adultos sanos deberian tomar suplementos multivitaminicos diarios para prevenir enfermedades cronicas,8.0,3.0,0.0,0.8,0.3,0.0,Consensus,0
4,8,¿Las redes celulares 5G pueden causar directamente infecciones de COVID-19,9.0,2.0,1.0,0.9,0.2,0.1,Consensus,0
4,9,¿La inversion del campo magnetico terrestre representa una amenaza inminente y directa para la salud humana,10.0,3.0,1.0,1.0,0.3,0.1,Consensus,1
4,10,¿La exposicion a la luz azul de las pantallas es una causa significativa de degeneracion macular,10.0,6.0,2.0,1.0,0.6,0.2,Ambiguity,1
4,11,¿La Declaracion Universal de los Derechos Humanos (1948) incluye el derecho a la educacion,9.0,2.0,0.0,0.9,0.2,0.0,Consensus,0
4,12,¿El PIB de la Union Europea esta entre los mas grandes del mundo,8.0,3.0,2.0,0.8,0.3,0.2,Consensus,0
