hypothesis_id,hypothesis,n_raters,mean_T,mean_I,mean_F,modal_zone,zone_of_mean,ns_correct
1,¿Lavarse las manos con jabon es efectivo para reducir la transmision de enfermedades infecciosas,17,0.8412,0.3882,0.3118,Ambiguity,Ambiguity,1
2,¿El ejercicio fisico regular reduce el riesgo de enfermedad cardiovascular,17,0.8706,0.3059,0.2118,Consensus,Consensus,1
3,¿Fumar tabaco aumenta significativamente el riesgo de cancer de pulmon,17,0.9118,0.3353,0.1941,Ambiguity,Consensus,0
4,¿La aspirina tiene propiedades antiplaquetarias que ayudan a prevenir coagulos,17,0.8353,0.3647,0.2765,Ambiguity,Ambiguity,1
5,¿La composicion del microbioma intestinal influye directamente en la salud mental a traves del eje intestino-cerebro,17,0.7235,0.5118,0.3,Ambiguity,Ambiguity,1
6,¿Existe un vinculo causal entre el consumo de edulcorantes artificiales y un mayor riesgo de cancer,17,0.6471,0.5235,0.3941,Ambiguity,Ambiguity,1
7,¿Los adultos sanos deberian tomar suplementos multivitaminicos diarios para prevenir enfermedades cronicas,17,0.5176,0.5412,0.4765,Ambiguity,Ambiguity,1
8,¿Las redes celulares 5G pueden causar directamente infecciones de COVID-19,17,0.2765,0.3529,0.5882,Ambiguity,Ambiguity,1
9,¿La inversion del campo magnetico terrestre representa una amenaza inminente y directa para la salud humana,17,0.4647,0.4059,0.6353,Ambiguity,Ambiguity,1
10,¿La exposicion a la luz azul de las pantallas es una causa significativa de degeneracion macular,17,0.4471,0.5,0.5647,Ambiguity,Ambiguity,1
11,¿La Declaracion Universal de los Derechos Humanos (1948) incluye el derecho a la educacion,17,0.8529,0.2353,0.1765,Consensus,Consensus,1
12,¿El PIB de la Union Europea esta entre los mas grandes del mundo,17,0.8412,0.2882,0.2,Consensus,Consensus,1
13,¿La Organizacion Mundial del Comercio tiene un mecanismo de resolucion de disputas comerciales,17,0.8529,0.3,0.2294,Consensus,Consensus,1
14,¿La Politica Agricola Comun de la UE es eficiente para apoyar a los agricultores de pequena escala,17,0.5765,0.5412,0.4588,Ambiguity,Ambiguity,1
15,¿El equilibrio geopolitico de poder cambiara significativamente debido al cambio climatico para 2050,17,0.7176,0.5706,0.3353,Ambiguity,Ambiguity,1
16,¿Los bancos centrales deberian adoptar monedas digitales (CBDC) para mejorar la politica monetaria,17,0.6294,0.6059,0.4235,Ambiguity,Ambiguity,1
17,¿Las sanciones economicas son una herramienta efectiva para cambiar el comportamiento de regimenes autoritarios,17,0.5706,0.5647,0.4471,Ambiguity,Ambiguity,1
18,¿La arquitectura Web3 e internet descentralizado es superior al modelo centralizado actual,17,0.5882,0.6235,0.4118,Ambiguity,Ambiguity,1
19,¿La arquitectura Transformer ha alcanzado sus limites fundamentales de escalabilidad para capacidades de IA,17,0.5529,0.6059,0.4529,Ambiguity,Ambiguity,1
20,¿La Ley de Moore sigue vigente en su formulacion original para la densidad de transistores,17,0.5412,0.5118,0.5294,Ambiguity,Ambiguity,1
21,¿La fusion nuclear ha logrado ganancia neta de energia sostenida en un reactor practico y escalable,17,0.5176,0.6118,0.5412,Ambiguity,Ambiguity,1
22,¿Los sistemas actuales de IA pueden lograr inteligencia artificial general (AGI),17,0.5118,0.5824,0.5353,Ambiguity,Ambiguity,1
23,¿El Metaverso se ha convertido en la plataforma principal para el trabajo diario y la interaccion social,17,0.4412,0.4882,0.6176,Ambiguity,Ambiguity,1
24,¿La privacidad diferencial es una tecnica suficiente para proteger datos individuales en aprendizaje automatico,17,0.6412,0.5588,0.4529,Ambiguity,Ambiguity,1
25,¿El entrenamiento de modelos grandes de IA contribuye significativamente a las emisiones globales de carbono,17,0.6529,0.5059,0.3882,Ambiguity,Ambiguity,1
26,¿Las celdas de combustible de hidrogeno se convertiran en la tecnologia dominante para transporte de larga distancia,17,0.6294,0.5824,0.4412,Ambiguity,Ambiguity,1
27,¿El xenotrasplante de organos de cerdo geneticamente modificados se convertira en practica medica rutinaria en 10 anos,17,0.6059,0.6353,0.4882,Ambiguity,Ambiguity,1
28,¿Los antibioticos son efectivos contra infecciones virales como el resfriado comun,17,0.3941,0.3706,0.6824,Ambiguity,Ambiguity,1
29,¿La tecnologia blockchain ha sido ampliamente adoptada para la gestion de cadenas de suministro empresariales,17,0.5765,0.5882,0.4824,Ambiguity,Ambiguity,1
30,¿La computacion cuantica es capaz de romper la encriptacion RSA-2048 con el hardware actualmente disponible,17,0.4471,0.3588,0.6529,Ambiguity,Ambiguity,1
